id,name,length_km,elevation_gain_m,time_minutes,gps_coords,difficulty,description,reviews
szlak_bieszczady,Szlak Bieszczady,22.5,600,600,"49°10′00″N,22°40′00″E",trudna,"Długa trasa z dużym przewyższeniem. Czas około 10h.","['★★★★★ Przygoda życia!']"
szlak_pieniny,Szlak Pieniny,9.5,210,150,"49°25′00″N,20°25′00″E",łatwa,"Krótka, łatwa trasa. Idealna na szybki spacer.","['★★★ Ładna, ale dużo turystów.']"
szlak_tatry_wysokie,Szlak Tatry Wysokie,25.0,720,720,"49°10′30″N,20°00′15″E",trudna,"Wymagająca trasa wysokogórska. Czas około 12h.","['★★★★★ Niezapomniane widoki, ale trudne warunki.']"
szlak_sudet,Szlak Sudet,18.0,480,480,"50°30′00″N,16°30′00″E",średnia,"Ciekawe szlaki z różnorodną trasą. Czas 8h.","['★★★★ Dobra kondycja potrzebna.']"
szlak_karkonosze,Szlak Karkonosze,20.0,540,540,"50°45′00″N,15°45′00″E",średnia,"Widokowa trasa. Czas przejścia 9h.","['★★★★ Ładna, ale momentami stromo.']"
szlak_polska_nizina,Szlak Polska Nizina,12.0,180,180,"52°00′00″N,19°00′00″E",łatwa,"Łatwa trasa nizinna. Czas 3h.","['★★★ Spokojna i relaksująca.']"
szlak_beskidy,Szlak Beskidy,17.5,450,450,"49°30′00″N,19°00′00″E",średnia,"Ciekawe widoki i umiarkowany trud.","['★★★★ Polecam na weekend.']"
szlak_mazury,Szlak Mazury,14.0,210,210,"53°45′00″N,21°00′00″E",łatwa,"Trasa pośród jezior. Czas około 3,5h.","['★★★★ Ładna i spokojna.']"
szlak_kotlina,Szlak Kotlina,11.5,270,270,"50°25′00″N,16°30′00″E",łatwa,"Malownicza dolina. Czas 4,5h.","['★★★ Urokliwe miejsce.']"
szlak_podhale,Szlak Podhale,16.5,360,360,"49°30′00″N,20°00′00″E",średnia,"Trasa z widokiem na Tatry. Czas 6h.","['★★★★ Przyjemna, ale momentami kamienista.']"
szlak_sudety_wschodnie,Szlak Sudety Wschodnie,21.0,540,540,"50°50′00″N,16°50′00″E",średnia,"Długa trasa z umiarkowanym przewyższeniem.","['★★★★ Warto zabrać mapę.']"
szlak_gory_swietokrzyskie,Szlak Góry Świętokrzyskie,13.5,300,300,"50°50′00″N,20°30′00″E",łatwa,"Ciekawa trasa z licznymi atrakcjami. Czas około 5h.","['★★★ Polecam na rodzinne wycieczki.']"
szlak_bory_tucholskie,Szlak Bory Tucholskie,14.8,280,280,"53°40′00″N,17°45′00″E",łatwa,"Spokojna trasa przez lasy i jeziora.","['★★★★ Cisza i spokój, idealne na odpoczynek.']"
szlak_podkarpackie,Szlak Podkarpackie,19.0,480,480,"49°50′00″N,22°15′00″E",średnia,"Trasa z umiarkowanymi przewyższeniami. Czas 8h.","['★★★★ Dobre widoki, ale miejscami stromo.']"
szlak_karpacz,Szlak Karpacz,16.0,360,360,"50°47′00″N,15°44′00″E",średnia,"Popularna trasa w Karkonoszach. Czas około 6h.","['★★★★ Piękne krajobrazy, ale sporo turystów.']"
szlak_gory_sowie,Szlak Góry Sowie,15.5,330,330,"50°38′00″N,16°29′00″E",średnia,"Trasa z wieloma punktami widokowymi.","['★★★★ Umiarkowany poziom trudności, polecam.']"
szlak_bieszczady_wschodnie,Szlak Bieszczady Wschodnie,23.0,600,600,"49°05′00″N,22°50′00″E",trudna,"Długa i wymagająca trasa. Czas około 10h.","['★★★★★ Niezapomniana przygoda!']"
szlak_podlasie_wschodnie,Szlak Podlasie Wschodnie,16.0,360,360,"53°00′00″N,23°20′00″E",łatwa,"Łagodna trasa przez malownicze tereny. Czas 6h.","['★★★★ Spokojna i malownicza.']"
szlak_karpaty_poludniowe,Szlak Karpaty Południowe,20.5,540,540,"49°15′00″N,20°30′00″E",średnia,"Trasa z pięknymi widokami. Czas 9h.","['★★★★ Warto się przygotować na dłuższą wycieczkę.']"
szlak_nizina_wielkopolska,Szlak Nizina Wielkopolska,13.0,210,210,"52°20′00″N,17°30′00″E",łatwa,"Prosta trasa po nizinnym terenie. Czas 3,5h.","['★★★ Łatwa i relaksująca wycieczka.']"
szlak_sudety_zachodnie,Szlak Sudety Zachodnie,19.5,510,510,"50°40′00″N,16°20′00″E",średnia,"Zróżnicowany teren i piękne krajobrazy. Czas 8,5h.","['★★★★ Polecam dla osób z dobrą kondycją.']"
szlak_bialowieza,Szlak Białowieża,15.0,200,240,"52°42′00″N,23°52′00″E",łatwa,"Trasa przez Puszczę Białowieską. Czas 4h.","['★★★★★ Natura w czystej postaci.']"
szlak_podhale_wysokie,Szlak Podhale Wysokie,18.5,400,420,"49°20′00″N,20°05′00″E",średnia,"Trasa z pięknymi widokami na Tatry. Czas 7h.","['★★★★ Piękne widoki, trochę męczące.']"
szlak_suwalski,Szlak Suwalski,14.2,250,270,"54°05′00″N,22°55′00″E",łatwa,"Malownicza trasa na północy Polski. Czas 4,5h.","['★★★ Spokojna i przyjemna.']"
szlak_kotlina_klodzka,Szlak Kotlina Kłodzka,20.0,480,480,"50°25′00″N,16°40′00″E",średnia,"Trasa przez Kotlinę Kłodzką. Czas 8h.","['★★★★ Urozmaicone widoki.']"